day,lunar_day_name,lunar_day,week_day,week_day_name,day_type,day_type_id
20170620,五月廿六日,0526,2,星期二,工作日,2
20170621,五月廿七日,0527,3,星期三,工作日,2
20170622,五月廿八日,0528,4,星期四,工作日,2
20170623,五月廿九日,0529,5,星期五,工作日,2
20170624,六月初一,0601,6,星期六,双休日,3
20170625,六月初二,0602,7,星期天,双休日,3
20170626,六月初三,0603,1,星期一,工作日,2
20170627,六月初四,0604,2,星期二,工作日,2
20170628,六月初五,0605,3,星期三,工作日,2
20170629,六月初六,0606,4,星期四,工作日,2
20170630,六月初七,0607,5,星期五,工作日,2
20170701,六月初八,0608,6,星期六,双休日,3
20170702,六月初九,0609,7,星期天,双休日,3
20170703,六月初十,0610,1,星期一,工作日,2
20170704,六月十一日,0611,2,星期二,工作日,2
20170705,六月十二日,0612,3,星期三,工作日,2
20170706,六月十三日,0613,4,星期四,工作日,2
20170707,六月十四日,0614,5,星期五,工作日,2
20170708,六月十五日,0615,6,星期六,双休日,3
20170709,六月十六日,0616,7,星期天,双休日,3
20170710,六月十七日,0617,1,星期一,工作日,2
20170711,六月十八日,0618,2,星期二,工作日,2
20170712,六月十九日,0619,3,星期三,工作日,2
20170713,六月二十日,0620,4,星期四,工作日,2
20170714,六月廿一日,0621,5,星期五,工作日,2
20170715,六月廿二日,0622,6,星期六,双休日,3
20170716,六月廿三日,0623,7,星期天,双休日,3
20170717,六月廿四日,0624,1,星期一,工作日,2
20170718,六月廿五日,0625,2,星期二,工作日,2
20170719,六月廿六日,0626,3,星期三,工作日,2
20170720,六月廿七日,0627,4,星期四,工作日,2
20170721,六月廿八日,0628,5,星期五,工作日,2
20170722,六月廿九日,0629,6,星期六,双休日,3
20170723,六月初一,0601,7,星期天,双休日,3
20170724,六月初二,0602,1,星期一,工作日,2
20170725,六月初三,0603,2,星期二,工作日,2
20170726,六月初四,0604,3,星期三,工作日,2
20170727,六月初五,0605,4,星期四,工作日,2
20170728,六月初六,0606,5,星期五,工作日,2
20170729,六月初七,0607,6,星期六,双休日,3
20170730,六月初八,0608,7,星期天,双休日,3
20170731,六月初九,0609,1,星期一,工作日,2
20170801,六月初十,0610,2,星期二,工作日,2
20170802,六月十一日,0611,3,星期三,工作日,2
20170803,六月十二日,0612,4,星期四,工作日,2
20170804,六月十三日,0613,5,星期五,工作日,2
20170805,六月十四日,0614,6,星期六,双休日,3
20170806,六月十五日,0615,7,星期天,双休日,3
20170807,六月十六日,0616,1,星期一,工作日,2
20170808,六月十七日,0617,2,星期二,工作日,2
20170809,六月十八日,0618,3,星期三,工作日,2
20170810,六月十九日,0619,4,星期四,工作日,2
20170811,六月二十日,0620,5,星期五,工作日,2
20170812,六月廿一日,0621,6,星期六,双休日,3
20170813,六月廿二日,0622,7,星期天,双休日,3
20170814,六月廿三日,0623,1,星期一,工作日,2
20170815,六月廿四日,0624,2,星期二,工作日,2
20170816,六月廿五日,0625,3,星期三,工作日,2
20170817,六月廿六日,0626,4,星期四,工作日,2
20170818,六月廿七日,0627,5,星期五,工作日,2
20170819,六月廿八日,0628,6,星期六,双休日,3
20170820,六月廿九日,0629,7,星期天,双休日,3
20170821,六月三十日,0630,1,星期一,工作日,2
20170822,七月初一,0701,2,星期二,工作日,2
20170823,七月初二,0702,3,星期三,工作日,2
20170824,七月初三,0703,4,星期四,工作日,2
20170825,七月初四,0704,5,星期五,工作日,2
20170826,七月初五,0705,6,星期六,双休日,3
20170827,七月初六,0706,7,星期天,双休日,3
20170828,七月初七,0707,1,星期一,工作日(节日),4
20170829,七月初八,0708,2,星期二,工作日,2
20170830,七月初九,0709,3,星期三,工作日,2
20170831,七月初十,0710,4,星期四,工作日,2
20170901,七月十一日,0711,5,星期五,工作日,2
20170902,七月十二日,0712,6,星期六,双休日,3
20170903,七月十三日,0713,7,星期天,双休日,3
20170904,七月十四日,0714,1,星期一,工作日,2
20170905,七月十五日,0715,2,星期二,工作日,2
20170906,七月十六日,0716,3,星期三,工作日,2
20170907,七月十七日,0717,4,星期四,工作日,2
20170908,七月十八日,0718,5,星期五,工作日,2
20170909,七月十九日,0719,6,星期六,双休日,3
20170910,七月二十日,0720,7,星期天,双休日,3
20170911,七月廿一日,0721,1,星期一,工作日,2
20170912,七月廿二日,0722,2,星期二,工作日,2
20170913,七月廿三日,0723,3,星期三,工作日,2
20170914,七月廿四日,0724,4,星期四,工作日,2
20170915,七月廿五日,0725,5,星期五,工作日,2
20170916,七月廿六日,0726,6,星期六,双休日,3
20170917,七月廿七日,0727,7,星期天,双休日,3
20170918,七月廿八日,0728,1,星期一,工作日,2
20170919,七月廿九日,0729,2,星期二,工作日,2
20170920,八月初一,0801,3,星期三,工作日,2
20170921,八月初二,0802,4,星期四,工作日,2
20170922,八月初三,0803,5,星期五,工作日,2
20170923,八月初四,0804,6,星期六,双休日,3
20170924,八月初五,0805,7,星期天,双休日,3
20170925,八月初六,0806,1,星期一,工作日,2
20170926,八月初七,0807,2,星期二,工作日,2
20170927,八月初八,0808,3,星期三,工作日,2
20170928,八月初九,0809,4,星期四,工作日,2
20170929,八月初十,0810,5,星期五,工作日,2
20170930,八月十一日,0811,6,星期六,工作日,2
20171001,八月十二日,0812,7,星期天,节假日,1
20171002,八月十三日,0813,1,星期一,节假日,1
20171003,八月十四日,0814,2,星期二,节假日,1
20171004,八月十五日,0815,3,星期三,节假日,1
20171005,八月十六日,0816,4,星期四,节假日,1
20171006,八月十七日,0817,5,星期五,节假日,1
20171007,八月十八日,0818,6,星期六,节假日,1
20171008,八月十九日,0819,7,星期天,节假日,1
20171009,八月二十日,0820,1,星期一,工作日,2
20171010,八月廿一日,0821,2,星期二,工作日,2
20171011,八月廿二日,0822,3,星期三,工作日,2
20171012,八月廿三日,0823,4,星期四,工作日,2
20171013,八月廿四日,0824,5,星期五,工作日,2
20171014,八月廿五日,0825,6,星期六,双休日,3
20171015,八月廿六日,0826,7,星期天,双休日,3
