user,star,eval,content,votes,date
龚星,2012-06-28,好多人和《色戒》比，首先东西方文化的差异巨大风格戏路截然不同；其次出发点不同《黑皮书》是刻画大背景下残酷战争以主角为线索的体现复杂人性和扭曲社会的大视角；《色戒》却是以战争为契机的讲述特殊坏境下的个别人物的感情戏和选择的小视角；最后一个成功一个失败。唯一相同的都大幅度的裸露，哈哈,力荐,5,0
白白八佰瓣,2008-04-10,应该说是一部娱乐性很强的谍战片，但凡很黄很暴力的片，票房一般就不用愁了，可是过于戏剧化的情节又让人怀疑这只是一部披着战争片外衣的悬疑惊悚片，人性啊寓意啊无形中反而被弱化了...没记错的话应该曾入选过250吧...,推荐,4,1
Vash,2013-03-11,"很细腻的片子,不是以视觉或剧情见长的,更多是人性的演绎. 当然一开始的伏笔已经道出了这里面不会有简单的善恶人物, 看起来稍有些平淡但回味一下却很值得推敲一下.尺度是有些大不过很有现实意义.",力荐,5,0
m89,2010-01-17,要想成为一部优秀的大片，前提是要有一个扎实严谨的剧本，《黑皮书》和《风声》的成功都证明了这一点。其实《黑皮书》的故事没有多么惊为天人，说到底也未脱通俗剧的一贯模式。,推荐,4,0
miaisdreaming,2011-09-22,皮囊是女人保命求生唯一的本钱，不然的话，she must be surprisingly good in bed!!,推荐,4,1
灰烬之口,2012-01-25,"i really into this one,historical background,sweet blood lips and handsome mengz",力荐,5,0
最差影评人,2012-11-04,德国军官和犹太女人的爱情，这在二战电影中亮了，这一路看下来有点像《色，戒》。但是后来内鬼的阴谋也给本片增加了不少亮色。本片反应的主题有点模糊。一个女人在二战中的悲惨遭遇来彰显人性的悲天悯人？力度上我认为不及《活着》。,推荐,4,0
touya,2011-01-27,"荷兰版[色戒]——范霍文的荷兰版[色戒]，只是最后还是革命胜利了。那是真正的爱情吗？这也是[色戒]中同样存在的问题。相互之间的狩猎人和猎物的关系，可以真正的产生爱情吗？
",还行,3,1
仗剑狂歌,2012-02-06,对我触动不算太大 但应该是不错的好电影 我看的字幕和电影版本不匹配。。结果就是。。没看一句对话 我都要调整好半天。。二个多小时的电影 我看了差不多四个小时。。,还行,3,1
浮生若梦,2009-03-18,机关算尽的年代,推荐,4,6
安非,2011-08-14,太好看了，女主角太美了！！！战争的残酷无情，人心的麻木和金钱利益的冲突。战争当中你永远不知道谁才是敌人··第一遍看的删节版，第二遍看的完整版，细节还是很重要的。,力荐,5,0
今 敏,2014-04-15,本来还是抱着欣赏情色片的心态（参见知乎日报《真正性感的电影》一文）去看的 结果剧情好看得出乎意料了 一个用“女人的关系”去讲述战争的故事 牺牲、爱情、胜利与怀疑、背叛，以及复仇与平息，复杂的故事一气道来 也没有绝对的正义、好人和非黑即白 不管是高潮转折还是讽刺性的结尾都值得一看,力荐,5,1
黄海,2010-05-18,剧情大片，前一个半小时很无聊，后一个小时每分钟都是高潮。虽然猜到了一些剧情，可是还是太激动人心了。嗷嗷的。时间拉长到2个半小时，完全展示出来了战争的毁灭性。,力荐,5,0
shyv,2013-03-16,人性之复杂，让我哆嗦，真正无下限。无所谓正义与否，违背基本伦理道德都是反人类。仍旧是那个问题：若在彼时彼境，自己又能如何？太喜欢女主了。,推荐,4,0
林隐,2011-11-27,谁是叛国贼？悬念此起彼伏。女主角赢得了二战末期的反间战，结局却在以色列又迎来了中东战争，犹太人真是苦命的娃…… ,力荐,5,0
邢早早,2016-11-07,1.女主和军官之间的感情，没有《色戒》里面来的汹涌，这跟我看的是阉片有很大关系，操广电总局。2.女主得知军官已死时的哭戏，如怨如诉。,推荐,4,1
小牛魔王,2009-02-16,保罗范霍文回归荷兰，集大成之作。视角已远远超越对二战的反思，最后几分钟情节十足惊艳。,力荐,5,0
小核桃,2007-08-30,"during the war, there is no judge. she gets her way. life follows the seeker",力荐,5,0
荒人,2012-07-24,我不知道我为什么看了中文配音版，然后又是脱得不彻底的三级片，不管别人怎么说，怎么可能比过《色戒》。,还行,3,0
